year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,33,615.691255098175,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,34,612.21352361991,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,35,760.7135938611634,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,36,486.2739524014413,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,37,441.66489661211153,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,38,362.684221663512,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,39,348.1919388032648,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,40,287.08283144477656,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,41,321.55552319536594,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,42,290.79044584060705,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,43,288.0994590790386,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,44,234.91111166213747,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,45,261.8525236501334,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,46,190.90783494382754,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,47,221.98250526095833,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,48,92.20203367863652,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,49,139.97575892280642,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,50,115.1226884984344,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,51,160.14671387219087,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,52,108.90673321930035,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,53,85.28542903502941,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,54,92.46046221543244,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,55,53.62766807438942,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,56,35.53,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,57,48.104031964507904,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,58,72.71139707052151,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,59,53.62766807438942,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,60,18.09766807438942,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,62,12.5740319645079,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,25,Shumagin Slope,Western Gulf of Alaska,30020,Shortspine thornyhead,3,69,18.09766807438942,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,21,2.8570899851484866,1.7529165727872669,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,38,W Yakutat slope,West Yakutat,30020,Shortspine thornyhead,3,23,14.795027222315746,10.544984330103429,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
