species_code,year,length,frequency,fmp_subarea,source
350,2016,49,1,AI,AI fishery
350,2016,46,1,AI,AI fishery
350,2017,34,1,AI,AI fishery
350,2017,35,1,AI,AI fishery
350,2017,33,2,AI,AI fishery
350,2017,27,1,AI,AI fishery
350,2017,25,1,AI,AI fishery
350,2017,27,3,AI,AI fishery
350,2017,31,1,AI,AI fishery
350,2017,33,1,AI,AI fishery
350,2017,37,1,AI,AI fishery
350,2017,29,1,AI,AI fishery
350,2017,31,1,AI,AI fishery
350,2017,47,1,AI,AI fishery
350,2017,48,1,AI,AI fishery
350,2016,49,1,AI,AI fishery
350,2016,53,2,AI,AI fishery
350,2016,48,1,AI,AI fishery
350,2016,46,2,AI,AI fishery
350,2016,36,1,AI,AI fishery
350,2016,50,1,AI,AI fishery
350,2016,42,1,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,43,2,AI,AI fishery
350,2016,51,1,AI,AI fishery
350,2016,59,1,AI,AI fishery
350,2016,49,1,AI,AI fishery
350,2016,63,1,AI,AI fishery
350,2016,71,1,AI,AI fishery
350,2016,47,1,AI,AI fishery
350,2016,61,1,AI,AI fishery
350,2016,45,1,AI,AI fishery
350,2016,48,2,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,51,1,AI,AI fishery
350,2016,41,1,AI,AI fishery
350,2016,66,1,AI,AI fishery
350,2016,56,1,AI,AI fishery
350,2016,47,3,AI,AI fishery
350,2016,65,1,AI,AI fishery
350,2016,49,1,AI,AI fishery
350,2016,55,1,AI,AI fishery
350,2016,58,1,AI,AI fishery
350,2016,64,1,AI,AI fishery
350,2016,61,1,AI,AI fishery
350,2016,52,1,AI,AI fishery
350,2016,62,1,AI,AI fishery
350,2013,39,1,AI,AI fishery
350,2013,43,1,AI,AI fishery
350,2013,44,1,AI,AI fishery
350,2013,48,1,AI,AI fishery
350,2013,50,1,AI,AI fishery
350,2013,55,1,AI,AI fishery
350,2013,57,1,AI,AI fishery
350,2013,60,1,AI,AI fishery
350,2013,62,1,AI,AI fishery
350,2013,35,1,AI,AI fishery
350,2013,41,1,AI,AI fishery
350,2013,46,1,AI,AI fishery
350,2013,47,1,AI,AI fishery
350,2013,48,1,AI,AI fishery
350,2013,49,1,AI,AI fishery
350,2013,52,1,AI,AI fishery
350,2013,53,1,AI,AI fishery
350,2013,54,2,AI,AI fishery
350,2013,58,1,AI,AI fishery
350,2013,44,1,AI,AI fishery
350,2013,48,1,AI,AI fishery
350,2013,54,1,AI,AI fishery
350,2013,57,1,AI,AI fishery
350,2013,60,1,AI,AI fishery
350,2013,61,1,AI,AI fishery
350,2013,30,1,AI,AI fishery
350,2013,32,1,AI,AI fishery
350,2013,34,1,AI,AI fishery
350,2013,36,1,AI,AI fishery
350,2013,39,1,AI,AI fishery
350,2013,42,1,AI,AI fishery
350,2013,45,1,AI,AI fishery
350,2013,48,1,AI,AI fishery
350,2013,50,1,AI,AI fishery
350,2013,52,2,AI,AI fishery
350,2013,54,1,AI,AI fishery
350,2013,59,1,AI,AI fishery
350,2013,61,1,AI,AI fishery
350,2013,49,2,AI,AI fishery
350,2013,50,1,AI,AI fishery
350,2013,51,1,AI,AI fishery
350,2013,53,1,AI,AI fishery
350,2013,34,1,AI,AI fishery
350,2013,40,1,AI,AI fishery
350,2013,43,1,AI,AI fishery
350,2013,44,1,AI,AI fishery
350,2013,49,1,AI,AI fishery
350,2013,50,1,AI,AI fishery
350,2013,58,1,AI,AI fishery
350,2013,59,1,AI,AI fishery
350,2013,62,1,AI,AI fishery
350,2013,68,1,AI,AI fishery
350,2015,36,1,AI,AI fishery
350,2015,41,1,AI,AI fishery
350,2015,49,1,AI,AI fishery
350,2015,50,1,AI,AI fishery
350,2015,56,2,AI,AI fishery
350,2015,42,1,AI,AI fishery
350,2015,47,1,AI,AI fishery
350,2015,41,1,AI,AI fishery
350,2015,45,1,AI,AI fishery
350,2015,51,1,AI,AI fishery
350,2015,56,1,AI,AI fishery
350,2015,64,1,AI,AI fishery
350,2015,38,1,AI,AI fishery
350,2015,40,1,AI,AI fishery
350,2015,46,2,AI,AI fishery
350,2015,48,1,AI,AI fishery
350,2015,49,2,AI,AI fishery
350,2015,51,1,AI,AI fishery
350,2011,42,1,EBS,EBS fishery
350,2011,43,2,EBS,EBS fishery
350,2011,47,1,EBS,EBS fishery
350,2011,48,1,EBS,EBS fishery
350,2011,59,1,EBS,EBS fishery
350,2011,38,1,EBS,EBS fishery
350,2011,40,1,EBS,EBS fishery
350,2011,42,1,EBS,EBS fishery
350,2011,43,1,EBS,EBS fishery
350,2011,44,1,EBS,EBS fishery
350,2011,39,1,EBS,EBS fishery
350,2011,42,2,EBS,EBS fishery
350,2011,40,2,EBS,EBS fishery
350,2011,41,2,EBS,EBS fishery
350,2011,43,2,EBS,EBS fishery
350,2011,44,1,EBS,EBS fishery
350,2011,46,1,EBS,EBS fishery
350,2011,49,1,EBS,EBS fishery
350,2011,53,1,EBS,EBS fishery
350,2011,54,1,EBS,EBS fishery
350,2011,59,1,EBS,EBS fishery
350,2011,38,1,EBS,EBS fishery
350,2011,39,1,EBS,EBS fishery
350,2011,43,2,EBS,EBS fishery
350,2011,51,1,EBS,EBS fishery
