species_group,model_name,fmp,biomass,M,species_fmp_ABC,species_fmp_OFL,total_biomass,prop_biomass
SST,M22_2024,AI,14033.334169385767,0.03,315.75001881117976,421.000025081573,37408.07619846335,0.37514183020088665
SST,M22_2024,EBS,23374.74202907758,0.03,525.9316956542456,701.2422608723274,37408.07619846335,0.6248581697991133
SST,M22_2026_sens,AI,14025.693528679301,0.03,315.57810439528424,420.770805860379,44340.0739077099,0.3163209325693185
SST,M22_2026_sens,EBS,30314.380379030594,0.03,682.0735585281883,909.4314113709178,44340.0739077099,0.6836790674306814
non-SST,M22_2024,AI,1473.38411867329,0.09,99.45342801044708,132.60457068059608,3150.9970218146736,0.4675929899244276
non-SST,M22_2024,EBS,1677.6129031413836,0.09,113.23887096204341,150.98516128272453,3150.9970218146736,0.5324070100755725
