species_group,model_name,year,biomass,M,OFL,maxABC
SST,M22_2024,2025,37408.07619846338,0.03,1122.2422859539013,841.681714465426
non-SST,M22_2024,2025,3151.083718367747,0.09,283.5975346530972,212.69815098982295
