species_group,model_name,parameter,estimate,std_err,lci,uci
SST,M22_2024,process_error,0.17749541821660245,0.03513603499099615,0.12041702227306099,0.2616293186227928
SST,M22_2024,scaling_parameter_q,0.6947891598675939,0.0636054345706055,0.5806689603037989,0.8313376634028407
non-SST,M22_2024,process_error,0.7598399339984836,0.12173789331519383,0.5550686564689912,1.040153715346876
