species_group,model_name,fmp,biomass,M,species_fmp_ABC,species_fmp_OFL,total_biomass,prop_biomass
SST,M22_2024,AI,14033.334169385767,0.03,315.75001881117976,421.000025081573,37408.07619846335,0.37514183020088665
SST,M22_2024,EBS,23374.74202907758,0.03,525.9316956542456,701.2422608723274,37408.07619846335,0.6248581697991133
non-SST,M22_2024,AI,1473.385134677538,0.09,99.45349659073382,132.60466212097842,3151.0837183677486,0.46758044735185483
non-SST,M22_2024,EBS,1677.6985836902106,0.09,113.24465439908923,150.99287253211895,3151.0837183677486,0.5324195526481452
